lat,lon,num_of_peoples,p_low,p_med,p_high
59.928677,30.309715,107,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928523,30.309185,129,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928054,30.307361,295,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92782,30.306472,107,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931837,30.294857,266,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934168,30.299312,78,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933956,30.299285,64,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933861,30.298962,16,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933068,30.296258,11,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931238,30.297048,30,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.923721,30.297219,110,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.935205,30.311044,35,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.934538,30.310649,67,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.935051,30.310568,43,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.934939,30.310128,164,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.934641,30.309517,62,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925858,30.301639,201,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.92635,30.302178,81,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.926183,30.302178,56,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.925998,30.302178,67,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.9258,30.302187,38,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.925525,30.30216,91,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930566,30.306337,11,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.930223,30.303364,182,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930219,30.302106,123,0.22839506172839505,0.35185185185185186,0.41975308641975306
